ano;Categoria CID-10;mes;OBITOS;AREA_DESMATADA_KM2;FRP;RISCOFOGO;PRECIPITACAO;DIASEMCHUVA;pm2.5_atm
2020;J01   Sinusite aguda;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J06   Infecc agudas vias aereas super loc mult NE;1;1;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J11   Influenza dev virus nao identificado;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J12   Pneumonia viral NCOP;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J15   Pneumonia bacter NCOP;1;16;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J18   Pneumonia p/microorg NE;1;16;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J21   Bronquiolite aguda;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J22   Infecc agudas NE das vias aereas infer;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J38   Doenc das cordas vocais e da laringe NCOP;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J39   Outr doenc das vias aereas super;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J40   Bronquite NE como aguda ou cronica;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J43   Enfisema;1;1;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J44   Outr doenc pulmonares obstrutivas cronicas;1;20;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J45   Asma;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J46   Estado de mal asmatico;1;1;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J47   Bronquectasia;1;1;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
2020;J64   Pneumoconiose NE;1;-;0.0707245956608127;;0.0;1.1111111111111112;2.333333333333333;10.9135
