"Categoria CID-10";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"J04   Laringite e traqueite agudas";-;-;-;-;-;1;-;-;-;1;-;-;2
"J06   Infecc agudas vias aereas super loc mult NE";-;-;1;-;-;-;-;1;-;-;-;-;2
"J10   Influenza dev outro virus influenza ident";3;2;6;6;2;4;1;3;-;-;-;-;27
"J11   Influenza dev virus nao identificado";3;3;3;5;1;3;1;1;-;-;1;1;22
"J12   Pneumonia viral NCOP";1;-;1;-;1;1;4;1;4;6;-;1;20
"J15   Pneumonia bacter NCOP";17;26;17;24;22;38;28;18;27;18;11;13;259
"J18   Pneumonia p/microorg NE";25;29;23;28;33;34;36;39;16;20;32;21;336
"J21   Bronquiolite aguda";-;-;-;-;4;2;2;1;1;1;-;-;11
"J22   Infecc agudas NE das vias aereas infer";-;1;-;-;1;1;-;-;-;-;-;1;4
"J34   Outr transt do nariz e dos seios paranasais";-;1;-;-;-;-;-;-;-;-;-;-;1
"J36   Abscesso periamigdaliano";-;-;-;-;-;-;-;-;-;-;-;1;1
"J39   Outr doenc das vias aereas super";-;-;1;-;-;-;-;-;-;-;-;-;1
"J42   Bronquite cronica NE";-;-;-;-;-;-;-;-;1;-;-;-;1
"J43   Enfisema";2;1;3;1;1;2;1;-;2;3;4;1;21
"J44   Outr doenc pulmonares obstrutivas cronicas";18;25;18;13;17;23;15;20;8;13;22;14;206
"J45   Asma";1;-;1;2;2;1;1;-;3;-;1;-;12
"J46   Estado de mal asmatico";-;-;-;-;-;-;-;-;-;-;-;1;1
"J47   Bronquectasia";-;-;-;1;-;-;1;-;-;-;1;-;3
"J60   Pneumoconiose dos mineiros de carvao";-;-;-;-;-;-;-;-;-;-;1;-;1
"J67   Pneumonite hipersensibilid dev poeiras org";1;-;-;-;-;-;-;-;-;-;-;-;1
"J68   Afecc resp dev inal prod quim gas fumac vap";2;-;1;-;-;-;-;-;-;-;-;-;3
"J69   Pneumonite dev solidos e liquidos";1;6;3;-;7;3;4;4;2;6;3;6;45
"J80   Sindr do desconforto respirat do adulto";-;2;2;-;2;-;1;1;-;3;2;2;15
"J81   Edema pulmonar NE de outr form";3;2;1;2;2;-;1;2;2;-;-;-;15
"J84   Outr doenc pulmonares intersticiais";5;7;6;4;6;6;6;8;7;2;5;3;65
"J85   Abscesso do pulmao e do mediastino";1;-;1;1;1;-;-;-;1;1;-;1;7
"J86   Piotorax";-;1;-;-;-;-;-;-;-;-;-;-;1
"J90   Derrame pleural NCOP";2;1;-;1;2;-;3;1;-;2;1;-;13
"J93   Pneumotorax";-;-;-;-;2;1;-;4;-;1;-;1;9
"J94   Outr afeccoes pleurais";-;-;-;1;-;-;-;-;-;-;-;-;1
"J96   Insuf respirat NCOP";2;-;1;-;3;2;3;2;-;-;1;3;17
"J98   Outr transt respirat";1;2;4;1;-;-;3;-;4;2;-;2;19
"Total";88;109;93;90;109;122;111;106;78;79;85;72;1142

